year,county_5dcode,pop
1969,12129,6021
1969,12131,15510
1969,12133,11095
1969,13001,12336
1969,13003,5977
1969,13005,8056
1969,13007,4029
1969,13009,33824
1969,13011,6838
1969,13013,16442
1969,13015,31954
1969,13017,13113
1969,13019,11333
1969,13021,141871
1969,13023,10127
1969,13025,5943
1969,13027,13535
1969,13029,6374
1969,13031,31260
1969,13033,18162
1969,13035,10306
1969,13037,6892
1969,13039,11144
1969,13043,6456
1969,13045,43924
1969,13047,27773
1969,13049,5443
1969,13051,191155
1969,13053,29080
1969,13055,20044
1969,13057,30066
1969,13059,64001
1969,13061,3714
1969,13063,92912
1969,13065,6343
1969,13067,190577
1969,13069,22346
1969,13071,31999
1969,13073,21852
1969,13075,12164
1969,13077,31390
1969,13079,5569
1969,13081,18049
1969,13083,9467
1969,13085,3626
1969,13087,22110
1969,13089,400486
1969,13091,15305
1969,13093,10275
1969,13095,87450
1969,13097,26758
1969,13099,12571
1969,13101,1890
1969,13103,13263
1969,13105,17272
1969,13107,18064
1969,13109,6716
1969,13111,13135
1969,13113,10877
1969,13115,72537
1969,13117,15626
1969,13119,12628
1969,13121,606212
1969,13123,8582
1969,13125,2255
1969,13127,49555
1969,13129,22762
1969,13131,17899
1969,13133,10237
1969,13135,68381
1969,13137,20279
1969,13139,57843
1969,13141,8823
1969,13143,15557
1969,13145,11394
1969,13147,15560
1969,13149,5235
1969,13151,22980
1969,13153,61151
1969,13155,7759
1969,13157,20584
1969,13159,5598
1969,13161,9054
1969,13163,17327
1969,13165,8344
1969,13167,7730
1969,13169,11307
1969,13171,10452
1969,13173,4930
1969,13175,32443
1969,13177,6820
1969,13179,17322
1969,13181,5845
1969,13183,3824
1969,13185,53362
1969,13187,8522
1969,13189,15311
1969,13191,7149
1969,13193,12703
1969,13195,12997
1969,13197,4960
1969,13199,19047
1969,13201,6482
1969,13205,18913
1969,13207,10337
1969,13209,6109
1969,13211,9671
1969,13213,12542
1969,13215,165402
1969,13217,25572
1969,13219,7788
1969,13221,7589
1969,13223,16973
1969,13225,15309
1969,13227,9465
1969,13229,9129
1969,13231,7259
1969,13233,29145
1969,13235,8181
1969,13237,8196
1969,13239,2288
1969,13241,8123
1969,13243,8730
1969,13245,163576
1969,13247,17370
1969,13249,3276
1969,13251,12458
1969,13253,6774
1969,13255,38877
1969,13257,20001
1969,13259,6593
1969,13261,26471
1969,13263,6638
1969,13265,2466
1969,13267,16404
1969,13269,7956
1969,13271,11364
1969,13273,11476
1969,13275,34029
1969,13277,26596
1969,13279,18691
1969,13281,4365
1969,13283,5591
1969,13285,44313
1969,13287,8915
1969,13289,8301
1969,13291,6565
1969,13293,23348
1969,13295,49771
1969,13297,22341
1969,13299,33086
1969,13301,6459
1969,13303,17309
1969,13305,17578
1969,13307,2360
1969,13309,4556
1969,13311,7643
1969,13313,53634
1969,13315,6951
1969,13317,10078
1969,13319,9061
1969,13321,14297
1969,15900,751103
1969,16001,108870
1969,16003,2879
1969,16005,51585
1969,16007,5793
1969,16009,6093
1969,16011,28911
1969,16013,5493
1969,16015,1644
1969,16017,15338
1969,16019,52315
1969,16021,5070
1969,16023,2971
1969,16025,768
1969,16027,58336
1969,16029,6550
1969,16031,16838
1969,16033,733
1969,16035,10727
1969,16037,2895
1969,16039,16796
1969,16041,7355
1969,16043,8569
1969,16045,9162
1969,16047,8328
1969,16049,12666
1969,16051,11743
1969,16053,9890
1969,16055,34547
1969,16057,24035
1969,16059,5473
1969,16061,3766
1969,16063,2958
1969,16065,13099
1969,16067,15246
1969,16069,30167
1969,16071,2872
1969,16073,6184
1969,16075,12286
1969,16077,4908
1969,16079,19810
1969,16081,2307
1969,16083,40573
1969,16085,3528
1969,16087,7410
1969,17001,71066
1969,17003,11897
1969,17005,13770
1969,17007,25317
1969,17009,5464
1969,17011,39310
1969,17013,5751
1969,17015,19381
1969,17017,14093
1969,17019,162643
1969,17021,35629
1969,17023,16146
1969,17025,14737
1969,17027,28298
1969,17029,47015
1969,17031,5476213
1969,17033,20016
1969,17035,9797
